1785859238.303747 server started (2970769): version 3.4, socket /tmp/tmux-1001/default, protocol 8
1785859238.303791 on Linux 6.8.0-101-generic #101-Ubuntu SMP PREEMPT_DYNAMIC Mon Feb  9 10:15:05 UTC 2026
1785859238.303800 using libevent 2.1.12-stable poll
1785859238.303804 using ncurses 6.4 20240113
1785859238.305240 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1785859238.305245 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1785859238.305248 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1785859238.305251 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1785859238.305254 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1785859238.305257 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1785859238.305260 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1785859238.305264 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1785859238.305267 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1785859238.305270 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1785859238.305281 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1785859238.305285 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1785859238.305288 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1785859238.305291 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1785859238.305294 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1785859238.305297 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1785859238.305300 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1785859238.305304 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1785859238.305307 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1785859238.305310 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1785859238.305313 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1785859238.305316 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1785859238.305320 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1785859238.305326 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1785859238.305329 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1785859238.305332 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1785859238.305335 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1785859238.305338 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1785859238.305341 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1785859238.305357 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1785859238.305361 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1785859238.305386 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1785859238.305389 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1785859238.305392 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1785859238.305394 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1785859238.305398 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1785859238.305401 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1785859238.305404 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1785859238.305407 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1785859238.305410 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1785859238.305413 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1785859238.305416 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1785859238.305419 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1785859238.305422 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1785859238.305425 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1785859238.305509 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1785859238.305515 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1785859238.305518 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1785859238.305521 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1785859238.305523 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1785859238.305527 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1785859238.305530 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1785859238.305533 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1785859238.305536 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1785859238.305539 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1785859238.305542 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1785859238.305545 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1785859238.305548 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1785859238.305551 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1785859238.305553 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1785859238.305557 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1785859238.305560 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1785859238.305563 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1785859238.305566 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1785859238.305569 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1785859238.305578 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1785859238.305581 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1785859238.305585 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1785859238.305588 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1785859238.305591 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1785859238.305594 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1785859238.305597 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1785859238.305600 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1785859238.305603 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1785859238.305606 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1785859238.305609 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1785859238.305632 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1785859238.305635 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1785859238.305639 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1785859238.305642 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1785859238.305646 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1785859238.305649 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1785859238.305653 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1785859238.305656 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1785859238.305659 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1785859238.305663 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1785859238.305666 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1785859238.305669 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1785859238.305673 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1785859238.305676 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1785859238.305679 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1785859238.305682 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1785859238.305685 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1785859238.305688 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1785859238.305691 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1785859238.305695 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1785859238.305704 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1785859238.305707 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1785859238.305710 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1785859238.305757 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1785859238.305762 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1785859238.305766 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1785859238.305771 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1785859238.305775 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1785859238.305780 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1785859238.305784 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1785859238.305788 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1785859238.305793 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1785859238.305797 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1785859238.305802 input_key_build: 0x40200000000009 (C-Tab[E]) is \033[9;5u
1785859238.305806 input_key_build: 0x40600000000009 (C-S-Tab[E]) is \033[1;5Z
1785859238.305827 yylex_token: end at WS
1785859238.305830 yylex_token: bind
1785859238.305834 yylex_token: end at WS
1785859238.305837 yylex_token: -N
1785859238.305842 yylex_token: end at WS
1785859238.305845 yylex_token: Send the prefix key
1785859238.305848 yylex_token: end at WS
1785859238.305851 yylex_token: C-b
1785859238.305855 yylex_token: end at WS
1785859238.305858 yylex_token: send-prefix
1785859238.305866 cmd_parse_build_commands 0:0: bind
1785859238.305875 cmd_parse_build_commands 0:1: -N
1785859238.305878 cmd_parse_build_commands 0:2: Send the prefix key
1785859238.305882 cmd_parse_build_commands 0:3: C-b
1785859238.305887 cmd_parse_build_commands 0:4 0:0: send-prefix
1785859238.305902 cmd_parse_build_commands 0:0: send-prefix
1785859238.305918 args_parse: flags end at 1 of 1
1785859238.305927 cmd_parse_build_commands: send-prefix
1785859238.305930 args_parse_flags: next -N
1785859238.305933 args_parse_flag_argument: -N = Send the prefix key
1785859238.305946 args_parse_flags: next C-b
1785859238.305950 args_parse: flags end at 3 of 5
1785859238.305955 args_parse: 3 = C-b (type STRING)
1785859238.305961 args_parse: 4 = send-prefix (type COMMANDS)
1785859238.306841 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1785859238.306882 cmdq_get_command: [bind-key/0x585f6d482960] group 2
1785859238.306888 cmdq_append <global>: [bind-key/0x585f6d482960]
1785859238.306896 yylex_token: end at WS
1785859238.306899 yylex_token: bind
1785859238.306902 yylex_token: end at WS
1785859238.306905 yylex_token: -N
1785859238.306912 yylex_token: end at WS
1785859238.306916 yylex_token: Rotate through the panes
1785859238.306920 yylex_token: end at WS
1785859238.306923 yylex_token: C-o
1785859238.306926 yylex_token: end at WS
1785859238.306929 yylex_token: rotate-window
1785859238.306935 cmd_parse_build_commands 0:0: bind
1785859238.306938 cmd_parse_build_commands 0:1: -N
1785859238.306941 cmd_parse_build_commands 0:2: Rotate through the panes
1785859238.306944 cmd_parse_build_commands 0:3: C-o
1785859238.306947 cmd_parse_build_commands 0:4 0:0: rotate-window
1785859238.306954 cmd_parse_build_commands 0:0: rotate-window
1785859238.306963 args_parse: flags end at 1 of 1
1785859238.306967 cmd_parse_build_commands: rotate-window
1785859238.306970 args_parse_flags: next -N
1785859238.306974 args_parse_flag_argument: -N = Rotate through the panes
1785859238.306976 args_parse_flags: next C-o
1785859238.306979 args_parse: flags end at 3 of 5
1785859238.306982 args_parse: 3 = C-o (type STRING)
1785859238.306985 args_parse: 4 = rotate-window (type COMMANDS)
1785859238.306994 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1785859238.306998 cmdq_get_command: [bind-key/0x585f6d482f80] group 10
1785859238.307001 cmdq_append <global>: [bind-key/0x585f6d482f80]
1785859238.307006 yylex_token: end at WS
1785859238.307008 yylex_token: bind
1785859238.307054 yylex_token: end at WS
1785859238.307059 yylex_token: -N
1785859238.307083 yylex_token: end at WS
1785859238.307092 yylex_token: Suspend the current client
1785859238.307096 yylex_token: end at WS
1785859238.307098 yylex_token: C-z
1785859238.307145 yylex_token: end at WS
1785859238.307148 yylex_token: suspend-client
1785859238.307154 cmd_parse_build_commands 0:0: bind
1785859238.307157 cmd_parse_build_commands 0:1: -N
1785859238.307160 cmd_parse_build_commands 0:2: Suspend the current client
1785859238.307163 cmd_parse_build_commands 0:3: C-z
1785859238.307167 cmd_parse_build_commands 0:4 0:0: suspend-client
1785859238.307172 cmd_parse_build_commands 0:0: suspend-client
1785859238.307181 args_parse: flags end at 1 of 1
1785859238.307186 cmd_parse_build_commands: suspend-client
1785859238.307188 args_parse_flags: next -N
1785859238.307191 args_parse_flag_argument: -N = Suspend the current client
1785859238.307194 args_parse_flags: next C-z
1785859238.307197 args_parse: flags end at 3 of 5
1785859238.307200 args_parse: 3 = C-z (type STRING)
1785859238.307203 args_parse: 4 = suspend-client (type COMMANDS)
1785859238.307212 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1785859238.307217 cmdq_get_command: [bind-key/0x585f6d480bc0] group 18
1785859238.307221 cmdq_append <global>: [bind-key/0x585f6d480bc0]
1785859238.307225 yylex_token: end at WS
1785859238.307228 yylex_token: bind
1785859238.307230 yylex_token: end at WS
1785859238.307232 yylex_token: -N
1785859238.307236 yylex_token: end at WS
1785859238.307239 yylex_token: Select next layout
1785859238.307258 yylex_token: end at WS
1785859238.307261 yylex_token: Space
1785859238.307264 yylex_token: end at WS
1785859238.307266 yylex_token: next-layout
1785859238.307270 cmd_parse_build_commands 0:0: bind
1785859238.307273 cmd_parse_build_commands 0:1: -N
1785859238.307276 cmd_parse_build_commands 0:2: Select next layout
1785859238.307279 cmd_parse_build_commands 0:3: Space
1785859238.307282 cmd_parse_build_commands 0:4 0:0: next-layout
1785859238.307286 cmd_parse_build_commands 0:0: next-layout
1785859238.307291 args_parse: flags end at 1 of 1
1785859238.307294 cmd_parse_build_commands: next-layout
1785859238.307297 args_parse_flags: next -N
1785859238.307300 args_parse_flag_argument: -N = Select next layout
1785859238.307324 args_parse_flags: next Space
1785859238.307327 args_parse: flags end at 3 of 5
1785859238.307330 args_parse: 3 = Space (type STRING)
1785859238.307333 args_parse: 4 = next-layout (type COMMANDS)
1785859238.307342 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1785859238.307347 cmdq_get_command: [bind-key/0x585f6d4812b0] group 26
1785859238.307350 cmdq_append <global>: [bind-key/0x585f6d4812b0]
1785859238.307356 yylex_token: end at WS
1785859238.307359 yylex_token: bind
1785859238.307362 yylex_token: end at WS
1785859238.307364 yylex_token: -N
1785859238.307370 yylex_token: end at WS
1785859238.307374 yylex_token: Break pane to a new window
1785859238.307378 yylex_token: end at WS
1785859238.307381 yylex_token: !
1785859238.307388 yylex_token: end at WS
1785859238.307394 yylex_token: break-pane
1785859238.307401 cmd_parse_build_commands 0:0: bind
1785859238.307403 cmd_parse_build_commands 0:1: -N
1785859238.307406 cmd_parse_build_commands 0:2: Break pane to a new window
1785859238.307409 cmd_parse_build_commands 0:3: !
1785859238.307412 cmd_parse_build_commands 0:4 0:0: break-pane
1785859238.307416 cmd_parse_build_commands 0:0: break-pane
1785859238.307419 args_parse: flags end at 1 of 1
1785859238.307424 cmd_parse_build_commands: break-pane
1785859238.307426 args_parse_flags: next -N
1785859238.307429 args_parse_flag_argument: -N = Break pane to a new window
1785859238.307433 args_parse_flags: next !
1785859238.307436 args_parse: flags end at 3 of 5
1785859238.307439 args_parse: 3 = ! (type STRING)
1785859238.307443 args_parse: 4 = break-pane (type COMMANDS)
1785859238.307451 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1785859238.307455 cmdq_get_command: [bind-key/0x585f6d481980] group 34
1785859238.307458 cmdq_append <global>: [bind-key/0x585f6d481980]
1785859238.307463 yylex_token: end at WS
1785859238.307466 yylex_token: bind
1785859238.307468 yylex_token: end at WS
1785859238.307470 yylex_token: -N
1785859238.307473 yylex_token: end at WS
1785859238.307476 yylex_token: Split window vertically
1785859238.307478 yylex_token: end at WS
1785859238.307481 yylex_token: "
1785859238.307483 yylex_token: end at WS
1785859238.307485 yylex_token: split-window
1785859238.307490 cmd_parse_build_commands 0:0: bind
1785859238.307493 cmd_parse_build_commands 0:1: -N
1785859238.307496 cmd_parse_build_commands 0:2: Split window vertically
1785859238.307498 cmd_parse_build_commands 0:3: "
1785859238.307501 cmd_parse_build_commands 0:4 0:0: split-window
1785859238.307504 cmd_parse_build_commands 0:0: split-window
1785859238.307521 args_parse: flags end at 1 of 1
1785859238.307527 cmd_parse_build_commands: split-window
1785859238.307531 args_parse_flags: next -N
1785859238.307535 args_parse_flag_argument: -N = Split window vertically
1785859238.307539 args_parse_flags: next "
1785859238.307543 args_parse: flags end at 3 of 5
1785859238.307547 args_parse: 3 = " (type STRING)
1785859238.307552 args_parse: 4 = split-window (type COMMANDS)
1785859238.307563 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1785859238.307590 cmdq_get_command: [bind-key/0x585f6d483d60] group 42
1785859238.307595 cmdq_append <global>: [bind-key/0x585f6d483d60]
1785859238.307601 yylex_token: end at WS
1785859238.307616 yylex_token: bind
1785859238.307620 yylex_token: end at WS
1785859238.307623 yylex_token: -N
1785859238.307629 yylex_token: end at WS
1785859238.307634 yylex_token: List all paste buffers
1785859238.307637 yylex_token: end at WS
1785859238.307641 yylex_token: #
1785859238.307645 yylex_token: end at WS
1785859238.307649 yylex_token: list-buffers
1785859238.307654 cmd_parse_build_commands 0:0: bind
1785859238.307659 cmd_parse_build_commands 0:1: -N
1785859238.307663 cmd_parse_build_commands 0:2: List all paste buffers
1785859238.307666 cmd_parse_build_commands 0:3: #
1785859238.307669 cmd_parse_build_commands 0:4 0:0: list-buffers
1785859238.307673 cmd_parse_build_commands 0:0: list-buffers
1785859238.307677 args_parse: flags end at 1 of 1
1785859238.307680 cmd_parse_build_commands: list-buffers
1785859238.307682 args_parse_flags: next -N
1785859238.307686 args_parse_flag_argument: -N = List all paste buffers
1785859238.307688 args_parse_flags: next #
1785859238.307691 args_parse: flags end at 3 of 5
1785859238.307694 args_parse: 3 = # (type STRING)
1785859238.307697 args_parse: 4 = list-buffers (type COMMANDS)
1785859238.307703 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1785859238.307707 cmdq_get_command: [bind-key/0x585f6d4846d0] group 50
1785859238.307709 cmdq_append <global>: [bind-key/0x585f6d4846d0]
1785859238.307726 yylex_token: end at WS
1785859238.307729 yylex_token: bind
1785859238.307731 yylex_token: end at WS
1785859238.307733 yylex_token: -N
1785859238.307738 yylex_token: end at WS
1785859238.307742 yylex_token: Rename current session
1785859238.307746 yylex_token: end at WS
1785859238.307749 yylex_token: $
